"MI","Mumbai Indians","Kings XI","Kings XI Punjab",03 May 2014 16:00 IST,"Mumbai"
"MI","Mumbai Indians","RCB","Royal Challengers",06 May 2014 20:00 IST,"Mumbai"
"MI","Mumbai Indians","CSK","Super Kings",10 May 2014 20:00 IST,"Mumbai"
"SRH","Sunrisers","MI","Mumbai Indians",12th May 2014 20:00 IST,"Hyderbad"
"KKR","Knight Riders","MI","Mumbai Indians",14th May 2014 20:00 IST,"Kolkata"
"RR","Rajasthan Royals","MI","Mumbai Indians",19th May 2014 16:00 IST,"Ahmedabad"
"Kings XI","Kings XI Punjab","MI","Mumbai Indians",21 May 2014 20:00 IST,"Mohali"
"MI","Mumbai Indians","DD","Delhi Daredevils",23rd May 2014 16:00 IST,"Mumbai"
"MI","Mumbai Indians","RR","Rajasthan Royals",25th May 2014 20:00 IST,"Mumbai"
