"CSK","Super Kings","KKR","Knight Riders",02 May 2014 20:00 IST,"Ranchi"
"Daredevils","Delhi Daredevils","CSK","Super Kings",05 May 2014 20:00 IST,"Delhi"
"Kings XI","Kings XI Punjab","CSK","Super Kings",07 May 2014 20:00 IST,"Cuttack"
"MI","Mumbai Indians","CSK","Super Kings",10 May 2014 20:00 IST,"Mumbai"
"CSK","Super Kings","RR","Rajasthan Royals",13 May 2014 16:00 IST,"Ranchi"
"CSK","Super Kings","RCB","Royal Challengers",18 May 2014 16:00 IST,"Chennai"
"KKR","Knight Riders","CSK","Super Kings",20 May 2014 20:00 IST,"Kolkata"
"CSK","Super Kings","SRH","Sunrisers",22 May 2014 20:00 IST,"Chennai"
"RCB","Royal Challengers","Daredevils","Delhi Daredevils",24 May 2014 16:00 IST,"Bengaluru"
