"SRH","Sunrisers","RR","Rajasthan Royals",18th Apr 2014,"Abu Dhabi","Rajasthan Royals won by 4 wickets","http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729285.html"
"SRH","Sunrisers","Kings XI","Kings XI Punjab",22nd Apr 2014,"Dubai","Kings XI won by 72 runs","http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729295.html"
"SRH","Sunrisers","Daredevils","Delhi Daredevils",25th Apr 2014,"Dubai","Sunrisers won by 4 runs","http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729301.html"
"CSK","Super Kings","SRH","Sunrisers",27th Apr 2014,"Dubai","Super Kings won by 5 wickets","http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729311.html"
"SRH","Sunrisers","MI","Mumbai Indians",30th Apr 2014,"Dubai","Sunrisers won by 15 runs","http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729317.html"
