"MI","Mumbai Indians","KKR","Knight Riders",16th Apr 2014,"Abu Dhabi","Kolkata won by 41 runs","http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729279.html"
"MI","Mumbai Indians","RCB","Royal Challengers",19th Apr 2014,"Dubai","RCB won by 7 wickets","http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729287.html"
"CSK","Super Kings","MI","Mumbai Indians",25th Apr 2014,"Dubai","Super Kings won by 7 wickets","http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729303.html"
"MI","Mumbai Indians","Daredevils","Delhi Daredevils",27th Apr 2014,"Dubai","Daredevils won by 6 wickets","http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729309.html"
"SRH","Sunrisers","MI","Mumbai Indians",30th Apr 2014,"Dubai","Sunrisers won by 15 runs","http://www.espncricinfo.com/indian-premier-league-2014/engine/match/729317.html"
